make,model,category,year,interval_miles,interval_months,service_category,description
Toyota,Corolla,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Toyota,Corolla,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Corolla,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Corolla,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Corolla,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Toyota,Corolla,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Corolla,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Corolla,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Corolla,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Toyota,Corolla,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Corolla,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Corolla,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Corolla,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Toyota,Corolla,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Corolla,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Corolla,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Corolla,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Toyota,Corolla,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Corolla,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Corolla,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,RAV4,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Toyota,RAV4,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,RAV4,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,RAV4,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,RAV4,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Toyota,RAV4,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,RAV4,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,RAV4,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,RAV4,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Toyota,RAV4,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,RAV4,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,RAV4,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,RAV4,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Toyota,RAV4,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,RAV4,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,RAV4,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,RAV4,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Toyota,RAV4,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,RAV4,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,RAV4,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Avalon,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Toyota,Avalon,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Avalon,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Avalon,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Avalon,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Toyota,Avalon,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Avalon,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Avalon,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Avalon,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Toyota,Avalon,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Avalon,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Avalon,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Avalon,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Toyota,Avalon,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Avalon,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Avalon,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Avalon,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Toyota,Avalon,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Avalon,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Avalon,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Supra,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Toyota,Supra,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Supra,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Supra,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Supra,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Toyota,Supra,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Supra,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Supra,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Supra,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Toyota,Supra,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Supra,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Supra,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Supra,Standard,2023,5000,6,Oil Service,Engine oil & filter change
Toyota,Supra,Standard,2023,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Supra,Standard,2023,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Supra,Standard,2023,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Toyota,Supra,Standard,2026,5000,6,Oil Service,Engine oil & filter change
Toyota,Supra,Standard,2026,15000,18,Inspection,"Brakes, filters, fluids inspection"
Toyota,Supra,Standard,2026,30000,36,Major Service,"Transmission service, air filters, coolant check"
Toyota,Supra,Standard,2026,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord,Standard,2014,5000,6,Oil Service,Engine oil & filter change
Honda,Accord,Standard,2014,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord,Standard,2014,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord,Standard,2014,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord,Standard,2017,5000,6,Oil Service,Engine oil & filter change
Honda,Accord,Standard,2017,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord,Standard,2017,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord,Standard,2017,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
Honda,Accord,Standard,2020,5000,6,Oil Service,Engine oil & filter change
Honda,Accord,Standard,2020,15000,18,Inspection,"Brakes, filters, fluids inspection"
Honda,Accord,Standard,2020,30000,36,Major Service,"Transmission service, air filters, coolant check"
Honda,Accord,Standard,2020,60000,72,Major Service,"Brake service, transmission fluid, coolant flush"
